id,name
Napoleon,Napoleon
Mlle.Baptistine,Mlle.Baptistine
Mme.Magloire,Mme.Magloire
CountessdeLo,CountessdeLo
Geborand,Geborand
Champtercier,Champtercier
Cravatte,Cravatte
Count,Count
OldMan,OldMan
Valjean,Valjean
Marguerite,Marguerite
Mme.deR,Mme.deR
Isabeau,Isabeau
Gervais,Gervais
Listolier,Listolier
Fameuil,Fameuil
Blacheville,Blacheville
Favourite,Favourite
Dahlia,Dahlia
Zephine,Zephine
Fantine,Fantine
Mme.Thenardier,Mme.Thenardier
Thenardier,Thenardier
Cosette,Cosette
Javert,Javert
Fauchelevent,Fauchelevent
Bamatabois,Bamatabois
Perpetue,Perpetue
Simplice,Simplice
Scaufflaire,Scaufflaire
Woman1,Woman1
Judge,Judge
Champmathieu,Champmathieu
Brevet,Brevet
Chenildieu,Chenildieu
Cochepaille,Cochepaille
Pontmercy,Pontmercy
Boulatruelle,Boulatruelle
Eponine,Eponine
Anzelma,Anzelma
Woman2,Woman2
MotherInnocent,MotherInnocent
Gribier,Gribier
Mme.Burgon,Mme.Burgon
Gavroche,Gavroche
Gillenormand,Gillenormand
Magnon,Magnon
Mlle.Gillenormand,Mlle.Gillenormand
Mme.Pontmercy,Mme.Pontmercy
Mlle.Vaubois,Mlle.Vaubois
Lt.Gillenormand,Lt.Gillenormand
Marius,Marius
BaronessT,BaronessT
Mabeuf,Mabeuf
Enjolras,Enjolras
Combeferre,Combeferre
Prouvaire,Prouvaire
Feuilly,Feuilly
Courfeyrac,Courfeyrac
Bahorel,Bahorel
Bossuet,Bossuet
Joly,Joly
Grantaire,Grantaire
MotherPlutarch,MotherPlutarch
Gueulemer,Gueulemer
Babet,Babet
Claquesous,Claquesous
Montparnasse,Montparnasse
Toussaint,Toussaint
Child2,Child2
Mme.Hucheloup,Mme.Hucheloup
Child1,Child1
Brujon,Brujon
Myriel,Myriel
Labarre,Labarre
Tholomyes,Tholomyes
Jondrette,Jondrette
